50,UVF,YJS,BCW,RAZ,GLQ,767,->,UVF,GLQ,YJS,RAZ,BCW,UVF,13674.31
51,UTC,ZAJ,THF,WFB,HMN,767,->,UTC,HMN,WFB,ZAJ,THF,UTC,16342.21
52,CPX,CGN,SLA,RIC,PUB,767,->,CPX,RIC,PUB,CGN,SLA,CPX,18388.86
53,QPP,BSC,CYF,YGW,KTG,767,->,QPP,KTG,CYF,BSC,YGW,QPP,19030.5
54,YLD,PGA,PUK,MHG,MVT,767,->,YLD,MVT,PUK,PGA,MHG,YLD,19872.76
55,UIN,ILI,RGS,RAP,UBP,767,->,UIN,RGS,UBP,ILI,RAP,UIN,20588.03
56,MQT,WJA,BDR,GNI,HOM,767,->,MQT,BDR,HOM,GNI,WJA,MQT,21779.16
57,BIL,NCS,LRH,LUR,AJU,767,->,BIL,AJU,NCS,LRH,LUR,BIL,22782.84
58,AXJ,ESH,BMG,JAC,SDE,767,->,AXJ,ESH,SDE,BMG,JAC,AXJ,23996.53
59,DSN,ULX,ZAH,SLD,WVB,767,->,DSN,ULX,WVB,ZAH,SLD,DSN,6137.85
60,MME,PKV,MUX,VVO,RMG,767,->,MME,RMG,VVO,MUX,PKV,MME,9148.09
61,AWZ,KSH,YQL,KKH,PHO,777,->,AWZ,KSH,PHO,KKH,YQL,AWZ,11195.55
62,DZN,UKA,CUR,YXY,POC,777,->,DZN,YXY,POC,CUR,UKA,DZN,11911.92
63,CZG,ERI,MLD,CZN,CEK,777,->,CZG,CEK,CZN,MLD,ERI,CZG,12206.39
64,AAE,NEC,JOT,LWN,VEE,777,->,AAE,LWN,VEE,JOT,NEC,AAE,12953.67
65,YBZ,ULV,SPZ,KHW,FDF,777,->,YBZ,FDF,KHW,ULV,SPZ,YBZ,16258.21
66,YXC,BBM,QUA,LBL,YYZ,777,->,YXC,BBM,QUA,YYZ,LBL,YXC,16804.54
67,MCM,TLH,MYG,GSS,TTJ,777,->,MCM,MYG,TLH,TTJ,GSS,MCM,17688.56
68,KCT,KPC,HVG,CTL,HGR,777,->,KCT,CTL,HVG,KPC,HGR,KCT,17780.78
69,BMW,PNP,HHI,GYL,UIT,777,->,BMW,GYL,PNP,UIT,HHI,BMW,17924.78
70,HVN,CBT,JON,JRH,BDB,777,->,HVN,CBT,JRH,BDB,JON,HVN,21128.29
71,ZRP,MJK,MUW,KEL,GIC,777,->,ZRP,GIC,MJK,MUW,KEL,ZRP,21654.99
72,FDW,HID,VTS,WKJ,IWD,777,->,FDW,WKJ,HID,VTS,IWD,FDW,25391.21
73,ZBP,ASH,NGU,MQT,PJM,777,->,ZBP,ASH,MQT,PJM,NGU,ZBP,5126.37
74,SOB,IQQ,TRK,UVA,ENF,777,->,SOB,ENF,IQQ,UVA,TRK,SOB,8539.39
75,JYL,EYK,TTR,LKG,MKU,777,->,JYL,MKU,LKG,TTR,EYK,JYL,8660.77
76,CIY,MAR,BKD,MCX,ZUN,777,->,CIY,MAR,BKD,ZUN,MCX,CIY,8819.57
77,PKB,BHM,MCG,PBV,PLD,777,->,PKB,MCG,PBV,PLD,BHM,PKB,9370.83
78,LSA,RKE,DLH,DRK,KYS,777,->,LSA,DRK,DLH,KYS,RKE,LSA,9825.45
79,IGB,BMW,HYS,SEY,YPE,A320,->,IGB,BMW,SEY,YPE,HYS,IGB,10415.58
80,YHY,KLL,ZSJ,IXZ,HUI,A320,->,YHY,IXZ,HUI,KLL,ZSJ,YHY,12519.37
81,SZX,OLC,PRY,EAT,CLS,A320,->,SZX,PRY,OLC,EAT,CLS,SZX,12879.67
82,HHN,CFR,ELY,ADM,KLC,A320,->,HHN,CFR,ADM,ELY,KLC,HHN,13915.29
83,AOT,BHB,HRE,KHW,NAW,A320,->,AOT,BHB,KHW,NAW,HRE,AOT,14278.51
84,MZP,VDR,BBO,KWM,BJZ,A320,->,MZP,KWM,BBO,BJZ,VDR,MZP,17046.17
85,AJL,0G7,HKD,ADX,GAN,A320,->,AJL,ADX,0G7,HKD,GAN,AJL,17089.09
